,Indeed,Monster,Simply Hired
Python,3901.0,2069.0,2893.0
SQL,2929.0,1582.0,2145.0
R,2615.0,1543.0,1928.0
Spark,1372.0,772.0,995.0
Hadoop,1056.0,577.0,755.0
Java,1211.0,526.0,817.0
Tableau,1247.0,536.0,837.0
AWS,1234.0,658.0,861.0
SAS,744.0,410.0,556.0
Hive,624.0,320.0,392.0
Scala,687.0,383.0,487.0
Excel,578.0,289.0,454.0
TensorFlow,735.0,403.0,570.0
C++,450.0,283.0,327.0
Azure,564.0,385.0,433.0
NoSQL,407.0,208.0,311.0
Linux,403.0,200.0,311.0
C,450.0,283.0,327.0
Matlab,444.0,208.0,339.0
Scikit-learn,444.0,210.0,316.0
Pandas,366.0,228.0,314.0
Git,316.0,162.0,261.0
Keras,324.0,180.0,242.0
Javascript,296.0,152.0,195.0
Pig,164.0,71.0,117.0
Hbase,163.0,57.0,91.0
Google Cloud,226.0,81.0,118.0
Docker,322.0,130.0,215.0
NumPy,311.0,189.0,251.0
PyTorch,437.0,235.0,326.0
C#,450.0,281.0,327.0
SPSS,167.0,101.0,128.0
MySQL,226.0,103.0,175.0
Perl,118.0,65.0,95.0
Cassandra,151.0,47.0,81.0
MongoDB,175.0,50.0,117.0
GCP,230.0,103.0,151.0
Kubernetes,222.0,123.0,166.0
D3,80.0,46.0,73.0
Databricks,168.0,85.0,118.0
postgresql,127.0,98.0,90.0
Caffe,63.0,40.0,41.0
Airflow,134.0,77.0,114.0
Alteryx,79.0,43.0,63.0
BigQuery,140.0,35.0,81.0
Fastai,1.0,0.0,1.0
